region,prefecture,commune,population,population_partagee_avec,agences,agences_actives,agences_moov,agences_togocom,data_centers,points_mm,mm_moov,mm_togocom,mm_operateur_inconnu,population_fiable,hab_par_point_mm,points_mm_pour_10k_hab,dist_agence_km,agences_pour_100k_hab,D1_deficit_mm,D2_deficit_agences,D3_eloignement,D4_enjeu_demographique,DCPI,DCPI_rang,n_D1_deficit_mm,n_D2_deficit_agences,n_D3_eloignement,n_D4_enjeu_demographique,rang_DCPI
Maritime,Golfe,Golfe 6,181561,,2,2,1,1,0,482,353,431,38,True,376.6825726141079,26.54755151161318,2.062267778618512,1.1015581540088455,376.6825726141079,-1.1015581540088455,2.062267778618512,181561,32.346426701275554,41.75213675213675,2.9744510848391252,82.77640388996903,2.848050789216187,50.239888530137556,74
Kara,Kozah,Kozah 4,20654,,0,0,0,0,0,35,17,34,0,True,590.1142857142858,16.945870049385107,11.577100673166807,0.0,590.1142857142858,-0.0,11.577100673166807,20654,32.23227052361604,46.45299145299145,5.658366004525852,100.0,19.62839499973019,3.1383098616286658,75
Kara,Assoli,Assoli 3,16044,,0,0,0,0,0,28,8,23,5,True,573.0,17.452006980802793,11.913002033945492,0.0,573.0,-0.0,11.913002033945492,16044,32.04591249818608,45.17094017094016,5.443152969400217,100.0,20.220790107149885,1.7888454028927132,76
Kara,Kozah,Kozah 3,23755,,0,0,0,0,0,34,8,32,2,True,698.6764705882352,14.312776257629974,9.736392506883291,0.0,698.6764705882352,-0.0,9.736392506883291,23755,32.011803905127195,48.93162393162393,7.02354113930173,100.0,16.382124995446755,4.046051572374911,77
Maritime,Avé,Avé 2,36170,,0,0,0,0,0,49,36,32,11,True,738.1632653061224,13.547138512579483,7.730022308732435,0.0,738.1632653061224,-0.0,7.730022308732435,36170,32.00299799518329,51.7948717948718,7.520089641558288,100.0,12.843693694359057,7.6802383956301945,78
Kara,Bassar,Bassar 4,16657,,0,0,0,0,0,29,15,21,8,True,574.3793103448276,17.41009785675692,10.996295532258753,0.0,574.3793103448276,-0.0,10.996295532258753,16657,31.682828578457944,44.914529914529915,5.460497868897994,100.0,18.604087973880322,1.9682861215923095,79
Plateaux,Kloto,Kloto 2,16166,,0,0,0,0,0,57,47,51,2,True,283.6140350877193,35.2591859458122,11.826766401840375,0.0,283.6140350877193,-0.0,11.826766401840375,16166,30.923320665005342,34.61538461538461,1.804109373233895,100.0,20.068705083064568,1.8245579113451613,80
Centrale,Sotouboua,Sotouboua 3,27770,,0,0,0,0,0,97,44,70,24,True,286.2886597938144,34.92978033849478,10.167533427536187,0.0,286.2886597938144,-0.0,10.167533427536187,27770,30.881212859637394,35.769230769230774,1.8377429183569767,100.0,17.142484439692883,5.2213443710354,81
Plateaux,Haho,Haho 1,119929,,1,1,1,0,0,187,156,158,20,True,641.3315508021391,15.592558930700664,1.9863566520238822,0.8338266807861318,641.3315508021391,-0.8338266807861318,1.9863566520238822,119929,30.749638597235684,49.95726495726496,6.302425783263228,86.96256396145498,2.7141740466834143,32.1986318011106,82
Maritime,Agoè-Nyivé,Agoè-Nyivé 5,125097,,2,2,0,2,0,97,81,94,2,True,1289.659793814433,7.753982909262413,1.8256066541726985,1.598759362734518,1289.659793814433,-1.598759362734518,1.8256066541726985,125097,30.437095369871077,56.53846153846154,14.455187240311796,75.00233152407066,2.4306756052837977,33.71143707719463,83
Kara,Doufelgou,Doufelgou 2,11722,,0,0,0,0,0,30,11,22,8,True,390.73333333333335,25.592902235113463,10.36047060417886,0.0,390.73333333333335,-0.0,10.36047060417886,11722,30.42076625110528,38.16239316239316,3.1511401334322784,100.0,17.482748138588086,0.5236858821428676,84
Plateaux,Danyi,Danyi 1,25820,,0,0,0,0,0,99,80,76,8,True,260.80808080808083,38.3423702556158,9.169182582323897,0.0,260.80808080808083,-0.0,9.169182582323897,25820,30.230751547998295,33.33333333333333,1.5173233091587528,100.0,15.381794471599108,4.6505296867544645,85
Centrale,Tchamba,Tchamba 1,82451,,1,1,0,1,0,52,30,45,6,True,1585.5961538461538,6.30677614583207,0.8835317157162601,1.2128415665061674,1585.5961538461538,-1.2128415665061674,0.8835317157162601,82451,30.1499657988696,53.03418803418803,18.17660239661575,81.03641354663174,0.769233737139637,21.227866294710157,86
Plateaux,Kloto,Kloto 3,11433,,0,0,0,0,0,36,23,32,2,True,317.5833333333333,31.48779847808974,8.073286080229028,0.0,317.5833333333333,-0.0,8.073286080229028,11433,29.11946844905575,32.77777777777778,2.2312750696920363,100.0,13.449073137650428,0.4390882186776419,87
Maritime,Agoè-Nyivé,Agoè-Nyivé 6,110194,,1,1,0,1,0,297,196,289,7,True,371.023569023569,26.95246565148738,1.2475342885762697,0.9074904259760059,371.023569023569,-0.9074904259760059,1.2475342885762697,110194,28.546269071746202,37.64957264957265,2.903288819650918,85.81078219624784,1.4111880976416915,29.348949261892702,88
Kara,Assoli,Assoli 2,9933,,0,0,0,0,0,31,15,29,2,True,320.4193548387097,31.209100976542835,6.7638523019680505,0.0,320.4193548387097,-0.0,6.7638523019680505,9933,28.46502090687944,32.22222222222222,2.2669381879806454,100.0,11.139757801940982,0.0,89
